Device,Web Clicks,News Clicks,Web Impressions,News Impressions,Web CTR,News CTR,Web Position,News Position
Mobile,341,0,12477,0,2.73%,0%,4.45,0
Desktop,101,0,3111,0,3.25%,0%,16.86,0
Tablet,3,0,193,0,1.55%,0%,9.52,0
